A,Delta,G,T_e,T_p,Z,beta,k,logA,mach,n_p,seed_index,sigma_logA,x
1.6779746656534689,0.004529234349848643,100651.51788221687,3756.011076206672,3739.075925090062,3.5932734899642043,39.17746995986523,31,1.322784194357694,0.08994599571729427,3.442150591034957e+25,-1,-0.5,-3.1
1.7640062664527147,0.004089760755821015,122942.32304827635,3755.429067818592,3740.132819392283,3.372969320582701,39.16475750177749,32,1.372784194357694,0.08551280340709146,3.4435346808296752e+25,-1,-0.5,-3.2
1.8544488017479221,0.003693864705283989,150121.17362988554,3754.9059134431227,3741.0868447877588,3.1745519407054257,39.15325253839168,33,1.422784194357694,0.08130236698404243,3.4447864924913983e+25,-1,-0.5,-3.3000000000000003
1.9495284249867424,0.003337019909430028,183265.53099942722,3754.435268189193,3741.948312171419,2.99573016224341,39.14283723080465,34,1.472784194357694,0.07730288551803238,3.445919062219095e+25,-1,-0.5,-3.4000000000000004
2.0494828847520363,0.0030152164924031055,223690.92540584202,3754.0115797818103,3742.7264492654317,2.834484848586003,39.13340535007961,35,1.522784194357694,0.07350327049945682,3.446944092482621e+25,-1,-0.5,-3.5
2.15456211925717,0.0027248915264697082,273003.622906564,3753.62996344087,3743.4295240508472,2.6890287236431263,39.12486117406523,36,1.5727841943576941,0.0698930905237846,3.4478720961859765e+25,-1,-0.5,-3.6
2.2650288813217347,0.002462871259227395,333164.94881165924,3753.2861020630107,3744.0649520998036,2.5577738477538587,39.11711846818107,37,1.6227841943576942,0.06646252189259931,3.448712523868612e+25,-1,-0.5,-3.7
2.3811593953904593,0.0022263225751437687,406569.8482617694,3752.9761655663574,3744.6393903558355,2.4393049717191913,39.11009955191515,38,1.6727841943576942,0.06320230430913401,3.449473876205054e+25,-1,-0.5,-3.8000000000000003
2.5032440482381983,0.0020127118459773996,496142.8359009871,3752.69674492835,3745.158819407462,2.3323574537978566,39.10373444901068,39,1.7227841943576943,0.0601037009820392,3.4501638037093733e+25,-1,-0.5,-3.9000000000000004
2.631588115088128,0.001819769765135426,605455.1844488016,3752.4447976253587,3745.6286159186834,2.2357987617239545,39.0979601171804,40,1.7727841943576943,0.05715846256128164,3.450789195262843e+25,-1,-0.5,-4.0
2.7665125229588114,0.0016454610824574445,738868.0543308833,3752.217602024175,3746.0536165852845,2.148612824738592,39.09271975206899,41,1.8227841943576943,0.05435879442011567,3.4513562568468046e+25,-1,-0.5,-4.1000000000000005
2.90835465314891,0.0014879583935545337,901707.3076074569,3752.0127188830725,3746.438174755013,2.069886677550691,39.087962159696616,42,1.8727841943576944,0.05169732687113463,3.4518705816677746e+25,-1,-0.5,-4.2
3.0574691848661657,0.0013456193156731189,1100477.0210238695,3751.8279585629684,3746.7862106661987,1.9987989681046843,39.083641191538916,43,1.9227841943576944,0.04916708796570639,3.4523372126981625e+25,-1,-0.5,-4.3
3.214228982110163,0.0012169665166774646,1343120.2661343412,3751.661352875163,3747.101256111875,1.934609997511623,39.079715236550044,44,1.9727841943576945,0.04676147857705421,3.452760698519239e+25,-1,-0.5,-4.4
3.3790260260265423,0.001100670166760187,1639337.621463039,3751.511130734012,3747.3864942165083,1.8766530325532047,39.07614676472433,45,2.0227841943576945,0.04447424950981,3.453145143237547e+25,-1,-0.5,-4.5
3.5522723950640422,0.000995532462154891,2000976.198692474,3751.375696964021,3747.6447949140584,1.8243266856076246,39.072901917162476,46,2.0727841943576943,0.042299480414584846,3.4534942511470043e+25,-1,-0.5,-4.6000000000000005
3.7344012953852603,0.000900473932343715,2442504.794904338,3751.253613747323,3747.8787466343933,1.7770881981301314,39.06995013799897,47,2.122784194357694,0.04023156031616397,3.453811366725461e+25,-1,-0.5,-4.7
3.9258681441077057,0.0008145212913188704,2981594.2395483027,3751.1435843014547,3748.0906846370235,1.7344474955155738,39.06726384395146,48,2.172784194357694,0.03826516958934906,3.4540995104819782e+25,-1,-0.5,-4.800000000000001
4.127151708083814,0.0007367966325264597,3639826.2267890754,3751.0444384569364,3748.2827163737547,1.6959619056399933,39.06481812764291,49,2.222784194357694,0.03639526323801522,3.4543614111090484e+25,-1,-0.5,-4.9
4.338755301067451,0.0006665077985095191,4443559.080645155,3750.95511986569,3748.4567442132966,1.661231452427288,39.0625904912155,50,2.2727841943576936,0.034617055351275634,3.454599534340289e+25,-1,-0.5,-5.0
